systematic transcript name	expression [RPM]	transcript length[nt]	expression [RPKM]	quality tag
YAL001C	1122.4316167492998	3483	322.2600105510479	included
YAL002W	483.6008561526278	3825	126.43159637977197	included
YAL003W	93854.38837925062	621	151134.28080394625	included
YAL004W	0.0	648	0.0	excluded
YAL005C	165412.3891374894	1929	85750.33133099502	included
YAL007C	1788.129091576683	648	2759.458474655375	included
YAL008W	600.0232844856669	597	1005.064128116695	included
YAL009W	161.20028538420897	780	206.66703254385766	excluded
YAL010C	283.593094657405	1482	191.35836346653508	included
YAL011W	453.7489514518482	1878	241.61286019800224	included
YAL012W	29604.133891762896	1185	24982.391469842107	included
YAL013W	758.238379399796	1218	622.5274050901445	included
YAL014C	325.3857612384963	768	423.6793766126254	included
YAL015C	289.5634755975609	1200	241.30289633130076	included
YAL016C-A	0.0	315	0.0	excluded
YAL016C-B	0.0	186	0.0	excluded
YAL016W	5907.691940284308	1908	3096.2746018261573	included
YAL017W	1370.2024257657654	4071	336.5763757714973	included
YAL018C	0.0	978	0.0	excluded
YAL019W	3035.9387080692886	3396	893.9748845904854	included
YAL019W-A	0.0	570	0.0	excluded
YAL020C	253.74118995662545	1002	253.23472051559426	included
YAL021C	3364.3096597778595	2514	1338.229777159053	included
YAL022C	743.3124270494064	1554	478.32202512831816	included
YAL023C	6182.329463531495	2280	2711.5480103208315	included
YAL024C	731.3716651690943	4308	169.77058151557435	included
YAL025C	2450.841375933986	921	2661.0655547600286	included
YAL026C	1525.4323302098162	4068	374.98336534164605	included
YAL026C-A	125.37799974327358	438	286.25114096637805	excluded
YAL027W	164.18547585428695	786	208.88737386041598	excluded
YAL028W	56.71861893148094	1587	35.73952043571578	excluded
YAL029C	2635.923185078827	4416	596.9028951718358	included
YAL030W	722.4160937588618	354	2040.7234286973498	included
YAL031C	600.0232844856662	2283	262.82228842998956	included
YAL031W-A	0.0	309	0.0	excluded
YAL032C	438.82299910145844	1140	384.9324553521565	included
YAL033W	591.0677130754331	522	1132.3136265812893	included
