systematic transcript name	expression [RPM]	transcript length[nt]	expression [RPKM]	quality tag
YAL001C	942.5802436636556	3483	270.62309608488533	included
YAL002W	736.3529059251464	3825	192.51056364056114	included
YAL003W	89058.66925138261	621	143411.7057188126	included
YAL004W	0.0	648	0.0	excluded
YAL005C	203072.05947111157	1929	105273.22937849227	included
YAL007C	475.5359787852703	648	733.8518191130714	included
YAL008W	179.53909403117447	597	300.7355008897395	included
YAL009W	76.42542516191882	780	97.98131431015233	excluded
YAL010C	271.7348450201558	1482	183.3568454926827	included
YAL011W	439.14291918435663	1878	233.835420225962	included
YAL012W	18850.3917712866	1185	15907.503604461264	included
YAL013W	1348.9694092072027	1218	1107.528250580626	included
YAL014C	391.83194170317006	768	510.19784075933603	included
YAL015C	275.37415098024707	1200	229.4784591502059	included
YAL016C-A	1.2131019866971238	315	3.8511174180861074	excluded
YAL016C-B	0.0	186	0.0	excluded
YAL016W	3242.6216104414075	1908	1699.4872172124778	included
YAL017W	1688.6379654824093	4071	414.79684733048623	included
YAL018C	0.0	978	0.0	excluded
YAL019W	2405.5812396203955	3396	708.3572554830375	included
YAL019W-A	0.0	570	0.0	excluded
YAL020C	673.2716026168998	1002	671.9277471226545	included
YAL021C	4068.744063382143	2514	1618.434392753438	included
YAL022C	173.4735840976889	1554	111.6303629972258	included
YAL023C	1482.4106277438898	2280	650.180099887671	included
YAL024C	903.7609800893464	4308	209.78667132993183	included
YAL025C	3095.8362700510593	921	3361.385743812225	included
YAL026C	875.8596343953151	4068	215.30472821910402	included
YAL026C-A	42.45856953439933	438	96.93737336620852	excluded
YAL027W	150.42464635044348	786	191.37995718885938	included
YAL028W	59.44199734815908	1587	37.45557488856905	excluded
YAL029C	3292.3587918959606	4416	745.5522626575997	included
YAL030W	121.31019866971248	354	342.6841770330861	included
YAL031C	551.9614039471876	2283	241.77021635882068	included
YAL031W-A	0.0	309	0.0	excluded
YAL032C	457.3394489848139	1140	401.1749552498368	included
YAL033W	285.078966873824	522	546.1282890303141	included
YAL034C	99.47436290916421	1242	80.09207963700823	included
YAL034C-B	0.0	354	0.0	excluded
YAL034W-A	139.50672847016932	870	160.35256145996473	included
YAL035W	14355.848910573777	3009	4770.9700600112255	included
YAL036C	4743.228767985775	1110	4273.179070257455	included
YAL037C-A	0.0	93	0.0	excluded
YAL037C-B	1.2131019866971238	975	1.244207165843204	excluded
YAL037W	10.917917880274114	804	13.579499851087206	excluded
YAL038W	596208.0858099823	1503	396678.69980704074	included
YAL039C	972.9077933310894	810	1201.1207325075177	included
YAL040C	497.3718145458177	1743	285.35388097866763	included
YAL041W	1701.9820873360732	2565	663.540774789892	included
YAL042C-A	0.0	378	0.0	excluded
YAL042W	1550.3443389989252	1248	1242.2630921465748	included
YAL043C	1169.430315176021	2358	495.9416094894067	included
YAL044C	3639.3059600913675	513	7094.163664895454	included
YAL044W-A	151.6377483371406	333	455.36861362504686	included
YAL045C	0.0	309	0.0	excluded
YAL046C	279.0134569403384	357	781.5502995527687	included
YAL047C	156.49015628392914	1869	83.72935060670365	included
YAL047W-A	0.0	330	0.0	excluded
YAL048C	468.25736686508696	1989	235.42351275268325	included
YAL049C	826.1224529407377	741	1114.8751051831819	included
YAL051W	1134.250357561806	3144	360.7666531685133	included
YAL053W	447.63463309123614	2352	190.32084740273643	included
YAL054C	31.5406516541252	2142	14.724860716211577	excluded
YAL055W	82.49093509540445	543	151.91700754218132	included
YAL056C-A	0.0	351	0.0	excluded
YAL056W	573.797239707735	2643	217.10073390379682	included
YAL058W	111.60538277613547	1509	73.95982954018255	included
YAL059C-A	0.0	423	0.0	excluded
YAL059W	344.5209642219827	639	539.1564385320543	included
YAL060W	2957.542643567584	1149	2574.0144852633457	included
YAL061W	140.7198304568665	1254	112.21677069925559	included
YAL062W	219.57145959217945	1374	159.8045557439443	included
