systematic transcript name	expression [RPM]	transcript length[nt]	expression [RPKM]	quality tag
YAL001C	1024.1949718564335	3483	294.05540392088244	included
YAL002W	788.8480421532522	3825	206.23478226228818	included
YAL003W	107451.12737716749	621	173029.1906234581	included
YAL004W	0.0	648	0.0	excluded
YAL005C	165368.26346652806	1929	85727.45643676934	included
YAL007C	496.84351826226646	648	766.7338244788062	included
YAL008W	202.6598561332933	597	339.4637456169067	included
YAL009W	71.91156185374933	780	92.1943100689094	excluded
YAL010C	285.46710917700415	1482	192.6228806862376	included
YAL011W	479.4104123583272	1878	255.27710988196338	included
YAL012W	19376.897212228552	1185	16351.811993441817	included
YAL013W	1287.870698653514	1218	1057.3651056268586	included
YAL014C	385.70746812465467	768	502.2232657873108	included
YAL015C	294.1836621289737	1200	245.15305177414476	included
YAL016C-A	0.0	315	0.0	excluded
YAL016C-B	0.0	186	0.0	excluded
YAL016W	3560.7118808796135	1908	1866.2011954295667	included
YAL017W	1806.5055992957182	4071	443.74984016107055	included
YAL018C	2.1791382379924036	978	2.228157707558695	excluded
YAL019W	2309.8865322719694	3396	680.1786019646553	included
YAL019W-A	4.358276475984807	570	7.6460990806751	excluded
YAL020C	592.7256007339333	1002	591.5425157025282	included
YAL021C	4168.691449279503	2514	1658.190711726135	included
YAL022C	154.71881489746056	1554	99.56165694817281	included
YAL023C	1673.5781667781785	2280	734.0255117448152	included
YAL024C	906.5215070048424	4308	210.42746216454094	included
YAL025C	3070.405777331306	921	3333.773916754947	included
YAL026C	998.0453130005242	4068	245.34053908567458	included
YAL026C-A	43.58276475984808	438	99.50402913207324	excluded
YAL027W	191.76416494333125	786	243.97476455894562	included
YAL028W	56.65759418780251	1587	35.7010675411484	excluded
YAL029C	3497.5168719778485	4416	792.0101612268678	included
YAL030W	126.39001780355945	354	357.03394859762557	excluded
YAL031C	570.9342183540084	2283	250.08069135085782	included
YAL031W-A	0.0	309	0.0	excluded
YAL032C	392.24488283863155	1140	344.07445863037856	included
YAL033W	318.15418274689017	522	609.4907715457666	included
YAL034C	139.46484723151383	1242	112.29053722344108	included
YAL034C-B	0.0	354	0.0	excluded
YAL034W-A	130.74829427954424	870	150.28539572361407	excluded
YAL035W	14107.740952762975	3009	4688.514773267854	included
YAL036C	5208.140388801878	1110	4692.01836828998	included
YAL037C-A	0.0	93	0.0	excluded
YAL037C-B	0.0	975	0.0	excluded
YAL037W	6.537414713977211	804	8.131112828329863	excluded
YAL038W	608663.8178066113	1503	404965.94664445193	included
YAL039C	849.8639128170391	810	1049.2147071815298	included
YAL040C	527.35145359416	1743	302.55390338161794	included
YAL041W	1749.8480051079127	2565	682.2019513091277	included
YAL042C-A	0.0	378	0.0	excluded
YAL042W	1207.242583847799	1248	967.3418139806082	included
YAL043C	1181.0929249918856	2358	500.8875848142008	included
YAL044C	3412.5304806961135	513	6652.106200187355	included
YAL044W-A	135.10657075552902	333	405.7254377042914	excluded
YAL045C	0.0	309	0.0	excluded
YAL046C	305.079353318936	357	854.5640148989804	included
YAL047C	196.12244141931606	1869	104.93442558550886	included
YAL047W-A	0.0	330	0.0	excluded
YAL048C	479.41041235832705	1989	241.03087599714783	included
YAL049C	664.6371625876839	741	896.9462383099647	included
YAL051W	1168.0180955639346	3144	371.50702785112423	included
YAL053W	433.6485093604867	2352	184.37436622469673	included
YAL054C	19.612244141931633	2142	9.156043016774804	excluded
YAL055W	82.80725304371136	543	152.49954520020506	excluded
YAL056C-A	2.1791382379924036	351	6.208371048411406	excluded
YAL056W	623.2335360658267	2643	235.80534849255645	included
YAL058W	132.92743251753666	1509	88.08974984594875	excluded
YAL059C-A	0.0	423	0.0	excluded
YAL059W	331.22901217484457	639	518.3552616194751	included
YAL060W	2983.2402478116146	1149	2596.379676076253	included
YAL061W	89.34466775768857	1254	71.24774143356345	excluded
YAL062W	281.10883270101965	1374	204.59158129622972	included
YAL063C	13.074829427954423	3969	3.294237699157073	excluded
YAL063C-A	0.0	291	0.0	excluded
YAL064C-A	0.0	381	0.0	excluded
YAL064W	0.0	285	0.0	excluded
YAL064W-B	0.0	381	0.0	excluded
YAL065C	2.1791382379924036	387	5.630848160187089	excluded
YAL066W	0.0	309	0.0	excluded
YAL067C	15.253967665946828	1782	8.560026748567243	excluded
YAL067W-A	0.0	228	0.0	excluded
YAL068C	0.0	363	0.0	excluded
YAL068W-A	0.0	255	0.0	excluded
YAL069W	2.1791382379924036	315	6.9178991682298525	excluded
YAR002C-A	1418.6189929330562	660	2149.422716565237	included
YAR002W	3098.734574425221	1620	1912.7991200155684	included
YAR003W	529.5305918321527	1281	413.3728273475041	included
YAR007C	2795.8343593442687	1866	1498.3035151898548	included
YAR008W	261.4965885590881	828	315.81713594092764	included
YAR009C	143.8231237074986	3591	40.05099518448861	included
